arm,case_id,mapper_mode,top1,historical_top1,delta_top1
A,mb11_pancoast,historical_oracle_assisted,0.3333333333333333,0.3333333333333333,0.0
A,mb11_pancoast,deterministic_gold_blind,0.3333333333333333,0.3333333333333333,0.0
A,mb11_pancoast,typed_llm,0.3333333333333333,0.3333333333333333,0.0
A,mb11_pancoast,typed_llm_disagreement_rag,0.3333333333333333,0.3333333333333333,0.0
A,mb34_leukemoid,historical_oracle_assisted,1.0,1.0,0.0
A,mb34_leukemoid,deterministic_gold_blind,1.0,1.0,0.0
A,mb34_leukemoid,typed_llm,1.0,1.0,0.0
A,mb34_leukemoid,typed_llm_disagreement_rag,1.0,1.0,0.0
A,mb55_glucagonoma,historical_oracle_assisted,1.0,1.0,0.0
A,mb55_glucagonoma,deterministic_gold_blind,1.0,1.0,0.0
A,mb55_glucagonoma,typed_llm,1.0,1.0,0.0
A,mb55_glucagonoma,typed_llm_disagreement_rag,1.0,1.0,0.0
A,mb57_kartagener,historical_oracle_assisted,1.0,1.0,0.0
A,mb57_kartagener,deterministic_gold_blind,0.0,1.0,-1.0
A,mb57_kartagener,typed_llm,0.3333333333333333,1.0,-0.6666666666666667
A,mb57_kartagener,typed_llm_disagreement_rag,0.3333333333333333,1.0,-0.6666666666666667
A,mb65_cml,historical_oracle_assisted,1.0,1.0,0.0
A,mb65_cml,deterministic_gold_blind,0.0,1.0,-1.0
A,mb65_cml,typed_llm,0.0,1.0,-1.0
A,mb65_cml,typed_llm_disagreement_rag,0.0,1.0,-1.0
A,mb66_peliosis,historical_oracle_assisted,0.0,0.0,0.0
A,mb66_peliosis,deterministic_gold_blind,0.0,0.0,0.0
A,mb66_peliosis,typed_llm,0.0,0.0,0.0
A,mb66_peliosis,typed_llm_disagreement_rag,0.0,0.0,0.0
A,mb77_hyperpara,historical_oracle_assisted,1.0,1.0,0.0
A,mb77_hyperpara,deterministic_gold_blind,0.3333333333333333,1.0,-0.6666666666666667
A,mb77_hyperpara,typed_llm,0.6666666666666666,1.0,-0.33333333333333337
A,mb77_hyperpara,typed_llm_disagreement_rag,0.6666666666666666,1.0,-0.33333333333333337
A,mb82_adhesions,historical_oracle_assisted,0.0,0.0,0.0
A,mb82_adhesions,deterministic_gold_blind,0.0,0.0,0.0
A,mb82_adhesions,typed_llm,0.3333333333333333,0.0,0.3333333333333333
A,mb82_adhesions,typed_llm_disagreement_rag,0.3333333333333333,0.0,0.3333333333333333
A,mb83_foreignbody,historical_oracle_assisted,1.0,1.0,0.0
A,mb83_foreignbody,deterministic_gold_blind,0.0,1.0,-1.0
A,mb83_foreignbody,typed_llm,1.0,1.0,0.0
A,mb83_foreignbody,typed_llm_disagreement_rag,1.0,1.0,0.0
A,mxh011,historical_oracle_assisted,1.0,1.0,0.0
A,mxh011,deterministic_gold_blind,0.0,1.0,-1.0
A,mxh011,typed_llm,0.0,1.0,-1.0
A,mxh011,typed_llm_disagreement_rag,0.0,1.0,-1.0
A,mxh014,historical_oracle_assisted,1.0,1.0,0.0
A,mxh014,deterministic_gold_blind,0.0,1.0,-1.0
A,mxh014,typed_llm,0.3333333333333333,1.0,-0.6666666666666667
A,mxh014,typed_llm_disagreement_rag,0.3333333333333333,1.0,-0.6666666666666667
A,mxh036,historical_oracle_assisted,0.3333333333333333,0.3333333333333333,0.0
A,mxh036,deterministic_gold_blind,0.3333333333333333,0.3333333333333333,0.0
A,mxh036,typed_llm,0.3333333333333333,0.3333333333333333,0.0
A,mxh036,typed_llm_disagreement_rag,0.3333333333333333,0.3333333333333333,0.0
A,mxh045,historical_oracle_assisted,0.0,0.0,0.0
A,mxh045,deterministic_gold_blind,0.0,0.0,0.0
A,mxh045,typed_llm,0.0,0.0,0.0
A,mxh045,typed_llm_disagreement_rag,0.0,0.0,0.0
A,mxh046,historical_oracle_assisted,0.6666666666666666,0.6666666666666666,0.0
A,mxh046,deterministic_gold_blind,0.0,0.6666666666666666,-0.6666666666666666
A,mxh046,typed_llm,0.6666666666666666,0.6666666666666666,0.0
A,mxh046,typed_llm_disagreement_rag,0.6666666666666666,0.6666666666666666,0.0
A,mxh055,historical_oracle_assisted,0.0,0.0,0.0
A,mxh055,deterministic_gold_blind,0.0,0.0,0.0
A,mxh055,typed_llm,0.0,0.0,0.0
A,mxh055,typed_llm_disagreement_rag,0.0,0.0,0.0
A,mxh068,historical_oracle_assisted,0.0,0.0,0.0
A,mxh068,deterministic_gold_blind,0.0,0.0,0.0
A,mxh068,typed_llm,0.0,0.0,0.0
A,mxh068,typed_llm_disagreement_rag,0.0,0.0,0.0
A,mxh075,historical_oracle_assisted,0.0,0.0,0.0
A,mxh075,deterministic_gold_blind,0.0,0.0,0.0
A,mxh075,typed_llm,0.0,0.0,0.0
A,mxh075,typed_llm_disagreement_rag,0.0,0.0,0.0
ALL_B_b1,mb11_pancoast,historical_oracle_assisted,1.0,1.0,0.0
ALL_B_b1,mb11_pancoast,deterministic_gold_blind,1.0,1.0,0.0
ALL_B_b1,mb11_pancoast,typed_llm,1.0,1.0,0.0
ALL_B_b1,mb11_pancoast,typed_llm_disagreement_rag,1.0,1.0,0.0
ALL_B_b1,mb34_leukemoid,historical_oracle_assisted,0.0,0.0,0.0
ALL_B_b1,mb34_leukemoid,deterministic_gold_blind,0.0,0.0,0.0
ALL_B_b1,mb34_leukemoid,typed_llm,0.0,0.0,0.0
ALL_B_b1,mb34_leukemoid,typed_llm_disagreement_rag,0.0,0.0,0.0
ALL_B_b1,mb55_glucagonoma,historical_oracle_assisted,1.0,1.0,0.0
ALL_B_b1,mb55_glucagonoma,deterministic_gold_blind,1.0,1.0,0.0
ALL_B_b1,mb55_glucagonoma,typed_llm,1.0,1.0,0.0
ALL_B_b1,mb55_glucagonoma,typed_llm_disagreement_rag,1.0,1.0,0.0
