row_id,experiment_id,arm_id,case_key,benchmark_family,relation_id,clinical_audit_source,audit_source_group,safe_exact,legacy_chain,clinical_relation,clinical_complete,compatible_partial,complete_or_compatible_partial,transition_code,provenance
95e7ec592bddfbd3fa00b03a,E1,ab02_flat__clean_fixed,DA_d2_heldout100/261,DA,bd8c47925acd3750a9aa291c,e2_exact_normalized_reuse,e2_human_root_relation_reuse,False,True,partial_parent_or_component,False,True,True,legacy_only_compatible_partial,case_arm_endpoint_transition_model_panel_not_root_where_novel
b89de504dbcac363bc5a20c9,E1,ab02_flat__clean_fixed,DA_d2_heldout100/262,DA,bc7621e3dc474c53e72b2836,model_majority_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
ac2cd652a226aa425ac8e171,E1,ab02_flat__clean_fixed,DA_d2_heldout100/276,DA,72aca78454f1f3ec76f2b429,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
9c81a54180d7b2b6a651ea84,E1,ab02_flat__clean_fixed,DA_d2_heldout100/289,DA,ef4e1074ad6b70c5c46c7891,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,complete_equivalent,True,False,True,clinical_complete_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
c8d2d499c1acb4b3147a3401,E1,ab02_flat__clean_fixed,DA_d2_heldout100/290,DA,7b60e02db548a84174498ab9,three_model_unanimous_proxy,novel_model_panel_proxy,False,True,complete_equivalent,True,False,True,legacy_only_confirmed_complete,case_arm_endpoint_transition_model_panel_not_root_where_novel
21ef676f1cd901c19dd50c80,E1,ab02_flat__clean_fixed,DA_d2_heldout100/299,DA,0645385dd550c000a9f8e909,model_majority_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
570ccc3d1f89d6e342c76957,E1,ab02_flat__clean_fixed,DA_d2_heldout100/301,DA,a60e0f01696b518c6c4915a3,three_model_unanimous_proxy,novel_model_panel_proxy,False,True,complete_equivalent,True,False,True,legacy_only_confirmed_complete,case_arm_endpoint_transition_model_panel_not_root_where_novel
f5034434184c353b657d2943,E1,ab02_flat__clean_fixed,DA_d2_heldout100/306,DA,92967f4203045d2007f8c045,deterministic_frozen_safe_exact,deterministic_safe_exact,True,True,complete_equivalent,True,False,True,safe_exact_confirmed_complete,case_arm_endpoint_transition_model_panel_not_root_where_novel
663b1a5360ee6f6be678ada3,E1,ab02_flat__clean_fixed,DA_d2_heldout100/308,DA,05d58c6511989ed29783a8ee,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
ed4dfe19c0bce11f83743503,E1,ab02_flat__clean_fixed,DA_d2_heldout100/312,DA,cccd8da0401bd3236b339dd4,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,conflicting_subtype_or_scope,False,False,False,concordant_noncompatible_scope_conflict,case_arm_endpoint_transition_model_panel_not_root_where_novel
69d05e7ee0b94b7f3f6f1ea4,E1,ab02_flat__clean_fixed,DA_d2_heldout100/318,DA,ded93f2571bc05f0d172f68f,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
8cfcc3de3c9d579769bdc0e3,E1,ab02_flat__clean_fixed,DA_d2_heldout100/349,DA,061c1fc7986c58b77f9a73bb,model_majority_proxy,novel_model_panel_proxy,False,False,conflicting_subtype_or_scope,False,False,False,concordant_noncompatible_scope_conflict,case_arm_endpoint_transition_model_panel_not_root_where_novel
4563d03e142fe12fd0140d52,E1,ab02_flat__clean_fixed,DA_d2_heldout100/352,DA,8b915144416d06bf6ce7c2d5,model_majority_proxy,novel_model_panel_proxy,False,False,not_equivalent,False,False,False,concordant_noncompatible_not_equivalent,case_arm_endpoint_transition_model_panel_not_root_where_novel
c2ca8ac853e58352777296d5,E1,ab02_flat__clean_fixed,DA_d2_heldout100/359,DA,149e8f32f1daf25fd6296b2a,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
9bbb6447ee25a8a6e8d8867e,E1,ab02_flat__clean_fixed,DA_d2_heldout100/364,DA,102386e207aeff2ce2b0984d,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,conflicting_subtype_or_scope,False,False,False,concordant_noncompatible_scope_conflict,case_arm_endpoint_transition_model_panel_not_root_where_novel
26e01c0df2e83a709063ad26,E1,ab02_flat__clean_fixed,DA_d2_heldout100/368,DA,a36ceaeba6d32161db73b21c,model_majority_proxy,novel_model_panel_proxy,False,False,partial_parent_or_component,False,True,True,compatible_partial_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
4815b340d92f928b507d44ee,E1,ab02_flat__clean_fixed,DA_d2_heldout100/375,DA,72d5f625784248b7b282f867,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,complete_equivalent,True,False,True,clinical_complete_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
26fb35cce1497eb4008ee6fa,E1,ab02_flat__clean_fixed,DA_d2_heldout100/398,DA,95429d585ee254113ead17d5,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,conflicting_subtype_or_scope,False,False,False,concordant_noncompatible_scope_conflict,case_arm_endpoint_transition_model_panel_not_root_where_novel
7eb52568e5e8e7c9768ea9c2,E1,ab02_flat__clean_fixed,DA_d2_heldout100/399,DA,d0740a30af211d585e2b47b9,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,complete_equivalent,True,False,True,clinical_complete_missed_by_legacy,case_arm_endpoint_transition_model_panel_not_root_where_novel
51b83be9f9e4831210e7b27f,E1,ab02_flat__clean_fixed,DA_d2_heldout100/402,DA,f242452e5129b3097c16d60d,three_model_unanimous_proxy,novel_model_panel_proxy,False,False,conflicting_subtype_or_scope,False,False,False,concordant_noncompatible_scope_conflict,case_arm_endpoint_transition_model_panel_not_root_where_novel
