arm,case_id,n_replicates,actual_top1_mean,actual_top2_mean,active_gold_l2_coverage_mean,inventory_gold_l2_coverage_mean,local_champion_mean,oracle_top1_mean,oracle_top2_mean,strict_top2_mean,technical_fallback_mean,reserve_gold_present_mean,mrr_at_2_mean,mrr_at_2_capped_mean,parent_valid_rate_mean,active_parent_valid_rate_mean,leaf_parent_invalid_rate_mean,active_parent_invalid_rate_mean,leaf_clean_rate_mean,semantic_duplicate_excess_rate_mean,loss_gate_mode
A-raw-v2,mb11_pancoast,3,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.575998075998076,0.575998075998076,0.424001924001924,0.424001924001924,0.22919672919672918,0.37782587782587784,success
A-raw-v2,mb34_leukemoid,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6460944715661697,0.6460944715661697,0.35390552843383033,0.35390552843383033,0.2283246104000821,0.4983836917799182,success
A-raw-v2,mb55_glucagonoma,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.636399840700916,0.636399840700916,0.363600159299084,0.363600159299084,0.3527976901632816,0.2958980485862206,success
A-raw-v2,mb57_kartagener,3,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.7333333333333334,0.6666666666666666,0.5909876543209877,0.5909876543209877,0.4090123456790124,0.4090123456790124,0.07814814814814815,0.6458641975308642,success
A-raw-v2,mb65_cml,3,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5917874396135266,0.5917874396135266,0.40821256038647347,0.40821256038647347,0.22584541062801933,0.5495169082125604,local_champion_elimination
A-raw-v2,mb66_peliosis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161904761904762,0.5161904761904762,0.48380952380952386,0.48380952380952386,0.1492063492063492,0.5104761904761904,coverage_deleted
A-raw-v2,mb77_hyperpara,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3055555555555555,0.0,0.5242012889071712,0.5242012889071712,0.4757987110928288,0.4757987110928288,0.33689839572192515,0.2863704922528452,intergroup_rank_loss
A-raw-v2,mb82_adhesions,3,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6933333333333334,0.6933333333333334,0.30666666666666664,0.30666666666666664,0.25333333333333335,0.39999999999999997,local_champion_elimination
A-raw-v2,mb83_foreignbody,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.4742592592592592,0.4742592592592592,0.5257407407407407,0.5257407407407407,0.2038888888888889,0.512962962962963,success
A-raw-v2,mxh011,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6320987654320988,0.6320987654320988,0.3679012345679012,0.3679012345679012,0.062345679012345674,0.6777777777777777,success
A-raw-v2,mxh014,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.631265664160401,0.631265664160401,0.36873433583959897,0.36873433583959897,0.2640977443609022,0.3239348370927318,success
A-raw-v2,mxh036,3,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7094436427769762,0.7094436427769762,0.29055635722302386,0.29055635722302386,0.2192079525412859,0.5222061888728555,success
A-raw-v2,mxh045,3,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6645761145761145,0.6645761145761145,0.3354238854238854,0.3354238854238854,0.017094017094017092,0.6555671055671056,local_champion_elimination
A-raw-v2,mxh046,3,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5469243156199678,0.5469243156199678,0.45307568438003215,0.45307568438003215,0.042318840579710144,0.6158132045088567,success
A-raw-v2,mxh055,3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6577260458839406,0.6577260458839406,0.3422739541160594,0.3422739541160594,0.22829509671614934,0.4841992802519118,local_champion_elimination
A-raw-v2,mxh068,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140218878248974,0.6140218878248974,0.38597811217510264,0.38597811217510264,0.08278613771089831,0.6204514363885089,coverage_deleted
A-raw-v2,mxh075,3,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.46715026715026714,0.46715026715026714,0.5328497328497329,0.5328497328497329,0.1521781521781522,0.5901173901173902,intergroup_rank_loss
A18-parent-safe,mb11_pancoast,3,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.611111111111111,0.5,0.575998075998076,0.8498168498168498,0.424001924001924,0.15018315018315018,0.22919672919672918,0.37782587782587784,success
A18-parent-safe,mb34_leukemoid,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6460944715661697,0.8114495798319328,0.35390552843383033,0.18855042016806722,0.2283246104000821,0.4983836917799182,success
A18-parent-safe,mb55_glucagonoma,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.636399840700916,0.8680555555555555,0.363600159299084,0.13194444444444445,0.3527976901632816,0.2958980485862206,success
A18-parent-safe,mb57_kartagener,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5909876543209877,0.9107142857142857,0.4090123456790124,0.08928571428571429,0.07814814814814815,0.6458641975308642,success
A18-parent-safe,mb65_cml,3,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.38888888888888884,0.16666666666666666,0.5917874396135266,1.0,0.40821256038647347,0.0,0.22584541062801933,0.5495169082125604,intergroup_rank_loss
A18-parent-safe,mb66_peliosis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161904761904762,0.7305555555555555,0.48380952380952386,0.26944444444444443,0.1492063492063492,0.5104761904761904,coverage_deleted
A18-parent-safe,mb77_hyperpara,3,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,0.611111111111111,0.5,0.5242012889071712,0.8863636363636364,0.4757987110928288,0.11363636363636363,0.33689839572192515,0.2863704922528452,success
A18-parent-safe,mb82_adhesions,3,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.6933333333333334,0.9184149184149185,0.30666666666666664,0.08158508158508158,0.25333333333333335,0.39999999999999997,local_champion_elimination
A18-parent-safe,mb83_foreignbody,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.4742592592592592,0.8677655677655678,0.5257407407407407,0.13223443223443224,0.2038888888888889,0.512962962962963,intergroup_rank_loss
A18-parent-safe,mxh011,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6320987654320988,0.9419191919191919,0.3679012345679012,0.05808080808080809,0.062345679012345674,0.6777777777777777,success
A18-parent-safe,mxh014,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.631265664160401,0.8430555555555556,0.36873433583959897,0.15694444444444444,0.2640977443609022,0.3239348370927318,success
A18-parent-safe,mxh036,3,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.7094436427769762,0.8947673531655225,0.29055635722302386,0.10523264683447749,0.2192079525412859,0.5222061888728555,success
A18-parent-safe,mxh045,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6645761145761145,0.8814192343604108,0.3354238854238854,0.11858076563958915,0.017094017094017092,0.6555671055671056,local_champion_elimination
A18-parent-safe,mxh046,3,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.5469243156199678,0.6863247863247862,0.45307568438003215,0.31367521367521367,0.042318840579710144,0.6158132045088567,local_champion_elimination
A18-parent-safe,mxh055,3,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.6577260458839406,0.6442307692307693,0.3422739541160594,0.3557692307692308,0.22829509671614934,0.4841992802519118,intergroup_rank_loss
A18-parent-safe,mxh068,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140218878248974,0.8588505747126437,0.38597811217510264,0.14114942528735633,0.08278613771089831,0.6204514363885089,coverage_deleted
A18-parent-safe,mxh075,3,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.46715026715026714,1.0,0.5328497328497329,0.0,0.1521781521781522,0.5901173901173902,coverage_deleted
A19-budget-safe,mb11_pancoast,3,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.575998075998076,0.7222222222222223,0.424001924001924,0.27777777777777773,0.22919672919672918,0.37782587782587784,success
