arm,replicate,case_id,tree_hash,status,coverage,l1_parent_coverage,gold_l2_coverage,clean_parent_coverage,gold_hint_recall,b_mapping_recall,b_mapping_recall_conditional,generator_retention,gap_gain,duplicate_rate,leaf_burden,llm_calls,generation_llm_calls,generation_model_calls,generation_cache_hits,retrieval_calls,mapping_calls,downstream_llm_calls,oracle_capability_llm_calls,production_e2e_llm_calls,oracle_top1,oracle_top2,oracle_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,actual_top1,actual_top2,actual_rr,added_leaves,added_specific_rate,added_specific_count,added_duplicate_rate,added_duplicate_count,added_parent_invalid_rate,added_parent_invalid_count,gold_added_yield,gold_added_count,within_parent_duplicate_count,cross_parent_duplicate_count,filter_rejections,budget_rejections,trigger_rate,triggered_parents,topology_loss,c_success_preservation,source_pool_occurrence_count,source_pool_exact_entity_count,source_pool_exact_redundant_excess_count,source_pool_occurrence_exact_redundancy_rate,source_pool_semantic_concept_count,source_pool_semantic_redundant_excess_count,source_pool_semantic_redundancy_rate,source_pool_repeated_occurrence_count,source_pool_repeated_occurrence_rate,source_pool_multi_parent_entity_count,source_pool_multi_parent_entity_rate,final_tree_semantic_duplicate_count,final_tree_semantic_duplicate_rate,legacy_mixed_duplicate_rate,gr_moved_entity_count,gr_moved_occurrence_count,gr_rejected_entity_count,gr_requested_calls,post_gr_selector_requested_calls,post_gr_parent_gate_requested_calls,actual_top1,actual_top2,actual_rr,oracle_parent_f4_local_top1,oracle_parent_f4_local_top2,oracle_parent_f4_local_rr,oracle_capability_model_calls,production_e2e_model_calls
ALL_B_b1,1,mb11_pancoast,1f1548f1523db528b40ccb4a8c28a90360ed97c642562a1edce3c99e76684029,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,12,12,0,0,0,0,8,3,5,True,True,1.0,True,True,1.0,True,True,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,6,0,1.0,4,0.0,True,33,9,24,0.7272727272727273,9,24,0.7272727272727273,32,0.9696969696969697,8,0.8888888888888888,0,0.0,0.0,0,0,0,0,0,0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb34_leukemoid,4bc8712479e0abbadb1736e6460c31378e8520a7c98b9584532f52791b0d0836,absent,1.0,1.0,False,1.0,,,,,False,0.038461538461538464,4.333333333333333,18,18,0,0,0,0,0,0,0,False,False,0.0,False,False,0.0,False,False,0.0,2,1.0,2,0.5,1,1.0,2,0.0,0,0,1,5,0,1.0,6,0.0,,46,10,36,0.782608695652174,10,36,0.782608695652174,44,0.9565217391304348,8,0.8,0,0.0,0.5,0,0,0,0,0,0,False,False,0.0,False,False,0.0,0,0
ALL_B_b1,1,mb55_glucagonoma,2cc2ef5124fe60684a8cd28f4e2f4ed885ea847bf8b6a47019627621da108f88,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,11,11,0,0,0,0,10,4,6,True,True,1.0,True,True,1.0,True,True,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0,1.0,5,0.0,True,8,7,1,0.125,7,1,0.125,2,0.25,1,0.14285714285714285,0,0.0,0.0,0,0,0,0,0,0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb57_kartagener,a13412bc48d93500f6c3cab9dd8fd84daabfcbc572899f0e102b3a1218bd8c9a,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.19047619047619047,4.2,13,13,0,0,0,0,18,12,6,True,True,1.0,True,True,1.0,True,True,1.0,1,1.0,1,1.0,1,1.0,1,0.0,0,0,4,1,0,0.8,4,0.0,True,14,10,4,0.2857142857142857,10,4,0.2857142857142857,8,0.5714285714285714,4,0.4,0,0.0,1.0,0,0,0,0,0,0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb65_cml,316fc6b7342a93b2208b8d46093d9cbeede7e739ba0c24be0bdf596becee8b45,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.21052631578947367,3.8,15,15,0,0,0,0,20,14,6,False,True,0.5,False,True,0.5,False,False,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4,0,0,1.0,5,0.0,,29,9,20,0.6896551724137931,9,20,0.6896551724137931,25,0.8620689655172413,5,0.5555555555555556,0,0.0,0.0,0,0,0,0,0,0,False,False,0.25,False,True,0.5,0,0
ALL_B_b1,1,mb66_peliosis,fb65d1c51f91ec728a546776a13bee8792f97947f629ee36d2cea10d418c41d5,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,15,15,0,0,0,0,3,3,0,False,True,0.5,False,True,0.5,False,False,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,5,0,1.0,5,0.0,,41,9,32,0.7804878048780488,9,32,0.7804878048780488,40,0.975609756097561,8,0.8888888888888888,0,0.0,0.0,0,0,0,0,0,0,False,False,0.0,False,True,0.5,0,0
ALL_B_b1,1,mb77_hyperpara,33db5aeb01f441dcd41c0d142b1f6472f2b1e79ed9a124a4c12e870c59d69483,unique,1.0,1.0,True,1.0,,,,,False,0.047619047619047616,4.2,15,15,0,0,0,0,10,4,6,True,True,1.0,True,True,1.0,True,True,1.0,1,0.0,0,1.0,1,0.0,0,0.0,0,0,1,1,0,1.0,5,0.0,True,14,8,6,0.42857142857142855,8,6,0.42857142857142855,9,0.6428571428571429,3,0.375,0,0.0,1.0,0,0,0,0,0,0,True,True,1.0,True,True,1.0,0,0
ALL_B_b1,1,mb82_adhesions,ee4ac5fb68c2ccd1a82c6f2edbaf8c0ddea6d66344cc01b0e32bd353cc3ca174,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.4,15,15,0,0,0,0,8,2,6,False,True,0.5,False,True,0.5,False,False,0.0,2,1.0,2,1.0,2,0.5,1,0.0,0,0,0,5,0,1.0,5,0.0,,37,8,29,0.7837837837837838,8,29,0.7837837837837838,37,1.0,8,1.0,0,0.0,1.0,0,0,0,0,0,0,False,False,0.0,False,True,0.5,0,0
ALL_B_b1,1,mb83_foreignbody,ef33efa9080b2097374d5b5ec443522417b20c270652134ec3598800406b9049,unique,1.0,1.0,True,1.0,,,,,False,0.0,4.0,12,12,0,0,0,0,10,5,5,True,True,1.0,True,True,1.0,False,True,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,1.0,4,0.0,True,13,6,7,0.5384615384615384,6,7,0.5384615384615384,10,0.7692307692307693,3,0.5,0,0.0,0.0,0,0,0,0,0,0,False,True,0.5,True,True,1.0,0,0
ALL_B_b1,1,mxh011,372ef55ade8f97ff42bdb614ec8eacd7c99d1a33244125b058cf7e8133c422bb,duplicated_across_l1,1.0,1.0,True,1.0,,,,,False,0.045454545454545456,4.4,15,15,0,0,0,0,15,9,6,True,True,1.0,True,True,1.0,True,True,1.0,2,1.0,2,0.5,1,0.0,0,0.0,0,0,1,6,0,1.0,5,0.0,True,45,9,36,0.8,9,36,0.8,45,1.0,9,1.0,0,0.0,0.5,0,0,0,0,0,0,True,True,1.0,True,True,1.0,0,0
