relpath	sha256
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/cache/compat_parallel_llm_cache.json	6c006b56fae3e4c144d23d243ccc73c1035c3f85d883e7307d23094b5e13d608
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/cache/topk_calibration_llm.json	ee35e882f0a0aef182636a458fa81abedb5cafc5c5b666d23c5b0ed8b8bd2870
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/guard_violations.jsonl	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_both_l1fallback_all100.tsv	19e101a91caa11fe5e90f67da8934dcf2115861415e4c4ac35305601254012dc
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_both_l1fallback_pilot24.tsv	88f6bd26c89006de461b3158a94a064af412859d2c50ce2fac6269982741a1e0
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_parallel_all100.tsv	d56e36a67049cc7cb93c8d3c1779b0090a1e893a8e7e6f21638947ffcdc031a7
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_parallel_no_l1_prior_all100.tsv	6e2301a127356c01cd9b170f68490f6890169dcd3e3ca42903565c7b32c5d13e
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_parallel_no_l1_prior_pilot24.tsv	d49892ea26723648237151f9c5cb648f51ed11928aaf9694984469bfbbfcff40
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_parallel_pilot24.tsv	dacef8814d05b3b787ac0110a80ce00f643d75d46bfb1a382858c2358747b6f8
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_random_route_all100.tsv	2fa31e5ca4e77ebc6b76bf6834699cd387191c0b6ae7b373679ff1e5fbeafdde
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_random_route_pilot24.tsv	1904dd1163fbf47c1f437a6388ddfef06800e2c88809d3c55a268d99b5c2bd54
logs/diagnosisarena_d2_m01_v1/at1_c1_v1/per_case_compat_serial_safe_all100.tsv	6532651c2e9970536f06b0c616705ca2847650710293794c70d24f9843712773
